2RXS  J010756.2+755821    16.98442	  75.97252	 15.42 	  13.13349	  59.53716	  125.04	  167.90	 14.595536	  0.2049	  0.0178	  819.56	   1.000	   0.028	   0.595	   0.051
2RXS  J002303.8+755746     5.76624	  75.96295	  9.22 	  13.18824	  61.68966	   29.03	   23.86	  5.910593	  0.0277	  0.0069	  861.58	  -1.000	   0.104	   0.000	   0.000
2RXS  J005603.1+755959    14.01323	  75.99989	 10.90 	  13.13056	  60.10341	   17.09	   17.99	  5.357279	  0.0213	  0.0063	  844.27	  -0.305	   0.168	   0.117	   0.283
2RXS  J022313.8+755932    35.80759	  75.99233	 20.79 	  14.12556	  56.49811	    6.84	   11.66	  4.831701	  0.0159	  0.0066	  733.98	   9.999	   9.999	   9.999	   9.999
2RXS  J031841.9+755934    49.67487	  75.99285	 18.98 	  15.66236	  54.76568	   10.61	   13.63	  4.822410	  0.0254	  0.0090	  536.06	  -0.742	   0.402	  -0.397	   1.650
2RXS  J033144.6+755953    52.93611	  75.99825	 12.25 	  16.12080	  54.43181	    7.12	    7.95	  4.050333	  0.0158	  0.0080	  504.42	   1.000	   1.343	  -1.000	   0.302
2RXS  J044848.5+755641    72.20223	  75.94474	 21.58 	  19.39752	  52.94282	    6.60	    8.15	  3.622277	  0.0173	  0.0077	  471.48	   9.999	   9.999	   9.999	   9.999
2RXS  J050736.2+755941    76.90092	  75.99497	 18.97 	  20.37418	  52.79237	    6.73	    8.12	  3.818781	  0.0170	  0.0080	  476.66	   9.999	   9.999	   9.999	   9.999
2RXS  J051833.3+755644    79.63912	  75.94575	  6.90 	  20.92350	  52.65497	  185.83	   98.40	 10.641881	  0.2122	  0.0230	  463.63	   0.252	   0.080	   0.013	   0.101
2RXS  J061145.6+755958    92.94007	  75.99967	 13.16 	  23.91283	  52.57232	    9.72	   10.62	  4.417489	  0.0232	  0.0097	  457.02	  -0.256	   0.285	  -0.030	   0.476
2RXS  J073611.7+755800   114.04889	  75.96694	 28.52 	  28.96344	  53.32337	    6.78	   10.80	  4.336106	  0.0235	  0.0095	  458.69	   9.999	   9.999	   9.999	   9.999
2RXS  J074804.4+755816   117.01851	  75.97129	 20.88 	  29.67999	  53.53470	    7.36	    9.66	  4.113565	  0.0216	  0.0092	  447.87	  -0.294	   0.305	  -0.099	   0.533
2RXS  J110202.6+755950   165.51091	  75.99734	 13.63 	  39.32439	  60.01286	    7.64	    7.82	  3.760175	  0.0234	  0.0112	  334.34	  -1.000	   1.035	  -1.000	   1.717
2RXS  J135523.6+755629   208.84866	  75.94164	 12.59 	  40.55278	  69.49200	   23.15	   29.81	  7.119532	  0.0342	  0.0082	  871.42	  -0.098	   0.174	  -0.064	   0.239
2RXS  J141046.8+755753   212.69533	  75.96492	  9.44 	  40.19567	  70.42467	   36.57	   42.46	  8.168265	  0.0394	  0.0076	 1078.47	  -0.179	   0.257	  -0.453	   0.367
2RXS  J154832.5+755850   237.13544	  75.98068	 17.32 	  36.63858	  76.19012	   13.34	   21.15	  6.238874	  0.0225	  0.0067	  938.04	  -1.000	   0.553	  -1.000	   1.730
