Theta	Offset	RA-SDSS	DEC-SDSS	SNR-SDSS	RA-ROSAT	DEC-ROSAT	SNR-ROSAT
 2.2	0.23	  184.291210	    7.191581	  1.00	  184.291380	    7.191000	  9.59
13.5	0.77	  205.534930	   35.654302	  1.00	  205.539220	   35.655710	 17.55
18.7	1.46	  192.244850	   40.595924	  1.00	  192.244890	   40.601110	 12.71
25.9	1.08	  137.160240	   32.592954	  1.00	  137.168260	   32.595440	 24.06
 7.1	1.04	  213.312000	   -3.207618	  1.00	  213.313580	   -3.206430	  6.79
 1.0	0.15	  175.058090	   24.697065	  1.00	  175.058270	   24.697290	  6.62
 9.1	0.67	  218.959000	   36.543232	  1.00	  218.961990	   36.544020	 13.64
37.3	1.96	  351.205640	   15.275607	  1.00	  351.201290	   15.266140	 19.04
41.3	1.71	  186.444680	   12.661875	  1.00	  186.453030	   12.669960	 24.10
 7.2	0.97	  206.329770	   41.712440	  1.00	  206.327410	   41.711510	  7.34
21.0	1.57	  348.089230	   14.609381	  1.00	  348.084720	   14.613250	 13.30
24.9	1.67	   27.308494	   13.055325	  1.00	   27.308490	   13.048410	 14.87
14.2	1.17	  202.105310	   46.591649	  1.00	  202.110320	   46.593590	 12.07
 5.3	0.39	  172.128290	   58.561843	  1.00	  172.130780	   58.561140	 13.47
13.1	1.02	  220.234820	   -0.318170	  1.00	  220.238330	   -0.319130	 12.86
 4.0	0.29	  180.550860	   62.137222	  1.00	  180.551800	   62.136210	 13.58
18.6	1.38	  172.140050	   58.562966	  1.00	  172.130780	   58.561140	 13.47
10.9	0.53	  164.244570	   50.140624	  1.00	  164.244670	   50.143640	 20.37
36.1	1.17	  127.411440	   52.076363	  1.00	  127.422020	   52.083990	 30.79
21.5	0.97	  132.604990	   32.621905	  1.00	  132.599490	   32.625680	 22.06
23.8	1.19	  150.596020	   59.742946	  1.00	  150.599430	   59.749330	 20.02
14.1	1.29	  186.355880	   16.469525	  1.00	  186.359950	   16.469910	 10.92
31.7	1.70	   41.501299	   -7.571335	  1.00	   41.494840	   -7.577400	 18.68
26.8	1.60	  234.760060	   31.759923	  1.00	  234.757740	   31.752750	 16.76
20.4	1.20	   32.410506	  -10.146272	  1.00	   32.413350	  -10.151190	 16.91
22.4	1.33	  143.042050	   21.502295	  1.00	  143.042080	   21.496060	 16.84
12.1	0.95	  195.163570	    2.500746	  1.00	  195.166750	    2.499670	 12.72
 3.2	0.25	  190.707060	    2.687663	  1.00	  190.706340	    2.688190	 12.73
33.9	1.59	  158.789210	   25.038085	  1.00	  158.787350	   25.028830	 21.28
 7.6	0.70	  226.621530	    1.605816	  1.00	  226.622060	    1.607870	 10.81
44.5	2.56	  202.661420	   49.136589	  1.00	  202.642670	   49.138120	 17.38
50.9	2.52	  213.925830	   24.900759	  1.00	  213.911500	   24.895220	 20.15
 7.0	1.38	  183.436540	   36.634031	  1.00	  183.437840	   36.632380	  5.00
34.9	2.23	  188.486090	   15.354824	  1.00	  188.479200	   15.361890	 15.63
10.8	1.09	  185.928370	   58.246151	  1.00	  185.928960	   58.249140	  9.89
21.2	1.16	  222.731440	   40.523826	  1.00	  222.724430	   40.526350	 18.20
12.5	0.67	  217.639970	   25.513786	  1.00	  217.636280	   25.514750	 18.50
49.3	1.78	  140.009040	    1.038274	  1.00	  139.996860	    1.032030	 27.64
36.0	2.56	  157.168680	   15.220495	  1.00	  157.162640	   15.212370	 14.01
17.9	1.46	  225.288650	   44.698159	  1.00	  225.295620	   44.698690	 12.21
13.4	1.30	  149.216930	   16.780596	  1.00	  149.213060	   16.780390	 10.23
26.0	1.76	  160.544510	   63.408709	  1.00	  160.559020	   63.411870	 14.70
 5.9	0.60	  234.267400	   55.264062	  1.00	  234.270260	   55.263880	  9.85
 5.1	0.32	  188.966090	   27.932509	  1.00	  188.966280	   27.931090	 16.10
17.4	1.94	  184.845760	    5.825132	  1.00	  184.850400	    5.826600	  8.93
32.4	1.39	  125.148690	   21.067803	  1.00	  125.141020	   21.062360	 23.24
