myDEC	edDEC	myRA	edRA
55.130770	55.130770	211.879790	211.879790
55.270970	55.270970	244.270980	244.270980
55.327080	55.327080	301.867430	301.867430
55.379830	55.379830	117.539090	117.539090
55.454730	55.454730	179.483660	179.483660
55.489960	55.489960	280.686100	280.686100
55.481240	55.481240	199.705700	199.705700
55.533380	55.533380	179.981990	179.981990
55.562230	55.562230	244.999310	244.999310
55.599710	55.599710	301.929600	301.929600
55.625100	55.625100	227.025700	227.025700
55.632880	55.632880	117.281230	117.281230
55.686820	55.686820	280.544040	280.544040
55.681310	55.681310	150.495220	150.495220
55.704740	55.704740	266.237490	266.237490
55.686820	55.686820	280.544040	280.544040
55.704740	55.704740	266.237490	266.237490
55.770930	55.770930	226.784060	226.784060
55.731000	55.731000	292.808010	292.808010
55.734270	55.734270	173.106450	173.106450
55.760320	55.760320	226.627750	226.627750
55.771780	55.771780	179.903720	179.903720
55.802950	55.802950	206.296080	206.296080
55.840310	55.840310	301.853610	301.853610
55.897720	55.897720	150.339830	150.339830
55.956260	55.956260	145.938340	145.938340
55.973990	55.973990	173.095050	173.095050
56.021440	56.021440	228.878690	228.878690
56.072590	56.072590	193.823940	193.823940
56.120510	56.120510	160.981960	160.981960
56.359980	56.359980	228.098950	228.098950
56.378740	56.378740	228.599730	228.599730
56.415380	56.415380	173.574740	173.574740
56.432090	56.432090	214.799550	214.799550
56.434330	56.434330	214.251750	214.251750
56.516070	56.516070	192.400120	192.400120
56.534380	56.534380	154.240360	154.240360
56.523930	56.523930	275.897950	275.897950
56.575880	56.575880	193.113690	193.113690
56.627470	56.627470	163.850570	163.850570
56.710430	56.710430	154.096280	154.096280
56.767980	56.767980	153.425900	153.425900
56.827890	56.827890	193.742290	193.742290
56.837690	56.837690	192.740520	192.740520
56.849310	56.849310	276.029270	276.029270
56.914780	56.914780	153.597600	153.597600
57.073960	57.073960	163.832290	163.832290
57.275240	57.275240	120.648440	120.648440
57.305280	57.305280	227.417110	227.417110
57.503130	57.503130	122.792240	122.792240
57.605030	57.605030	234.537670	234.537670
57.655850	57.655850	199.349720	199.349720
57.652660	57.652660	124.102880	124.102880
57.713400	57.713400	123.904850	123.904850
57.904370	57.904370	129.775150	129.775150
57.901130	57.901130	233.966580	233.966580
57.961070	57.961070	157.692980	157.692980
58.011980	58.011980	158.152860	158.152860
58.015570	58.015570	233.518020	233.518020
58.066310	58.066310	199.418320	199.418320
58.206570	58.206570	198.931240	198.931240
58.208970	58.208970	202.018330	202.018330
58.270580	58.270580	157.986400	157.986400
58.278820	58.278820	199.801610	199.801610
58.321470	58.321470	124.004720	124.004720
58.418460	58.418460	202.409940	202.409940
58.442130	58.442130	198.170590	198.170590
58.426660	58.426660	198.729930	198.729930
58.540600	58.540600	202.835600	202.835600
58.540600	58.540600	202.835600	202.835600
58.564480	58.564480	240.474460	240.474460
58.769740	58.769740	114.237320	114.237320
58.873880	58.873880	133.437480	133.437480
58.940830	58.940830	191.171400	191.171400
59.021190	59.021190	76.553310	76.553310
59.147630	59.147630	134.262680	134.262680
59.312200	59.312200	193.246950	193.246950
59.334350	59.334350	283.244600	283.244600
59.354230	59.354230	234.665050	234.665050
59.387100	59.387100	282.801360	282.801360
59.622830	59.622830	280.702150	280.702150
59.661740	59.661740	212.349560	212.349560
59.722130	59.722130	212.578810	212.578810
59.713820	59.713820	235.885410	235.885410
59.771260	59.771260	308.700990	308.700990
59.810670	59.810670	261.472320	261.472320
59.876380	59.876380	307.756900	307.756900
59.929580	59.929580	261.662410	261.662410
60.022230	60.022230	206.143130	206.143130
60.061000	60.061000	205.756240	205.756240
60.094400	60.094400	309.799680	309.799680
60.190750	60.190750	308.747310	308.747310
60.191810	60.191810	260.994380	260.994380
60.259580	60.259580	205.394200	205.394200
60.239840	60.239840	259.967900	259.967900
60.249390	60.249390	257.058010	257.058010
60.320520	60.320520	192.163860	192.163860
60.380820	60.380820	205.577710	205.577710
60.367950	60.367950	307.934690	307.934690
60.401680	60.401680	256.738490	256.738490
60.414910	60.414910	309.121190	309.121190
60.412920	60.412920	206.982150	206.982150
60.402750	60.402750	294.778110	294.778110
60.414910	60.414910	309.121190	309.121190
60.445080	60.445080	75.852550	75.852550
60.503560	60.503560	310.072330	310.072330
60.489020	60.489020	308.357820	308.357820
60.489020	60.489020	308.357820	308.357820
60.525930	60.525930	207.018550	207.018550
60.589280	60.589280	295.617950	295.617950
60.700230	60.700230	249.766460	249.766460
60.705730	60.705730	256.397430	256.397430
60.700230	60.700230	249.766460	249.766460
60.692510	60.692510	295.103450	295.103450
60.740020	60.740020	256.173980	256.173980
60.795930	60.795930	256.023410	256.023410
60.890230	60.890230	249.356230	249.356230
60.980470	60.980470	255.535840	255.535840
60.993270	60.993270	246.027070	246.027070
61.056780	61.056780	198.585940	198.585940
61.095340	61.095340	198.295460	198.295460
61.152570	61.152570	245.506760	245.506760
61.189380	61.189380	245.363070	245.363070
61.515800	61.515800	245.999500	245.999500
61.654450	61.654450	165.841960	165.841960
